Imp,On,TrackName,Name,TrackRefs,TrackRefsLatex,Notes,length,ra_o,dec_o,distance_o,ra_f,dec_f,distance_f,ra_mid,dec_mid,distance_mid,ra_pole,dec_pole,InfoFlags,has_empirical_track,has_D,has_pm,has_vrad,DiscoveryRefs,ID,DiscoveryYear
ep,True,Cocytos-G09,Cocytos,grillmair2009,Grillmair2009,-,75.13970429313875,186.0,-3.0,11.0,259.0,20.0,11.0,221.2110986696777,10.529429982603455,11.0,103.52716616811006,68.19509334162281,0000,0,0,0,0,Grillmair2009,17,2009
st,True,Cetus-Y13,Cetus,yam2013,Yam2013,-,30.10979433841061,20.008469246906103,-4.119747000087538,27.176725991527462,32.22085837770319,23.530917378074307,32.4891616983327,25.708275197812295,9.823837746137718,30.620961866025198,291.4294930423592,23.310929758980134,1100,1,1,0,0,"Yanny2009,Newberg2009",16,2009
ep,True,Lethe-G09,Lethe,grillmair2009,Grillmair2009,-,81.23032801463269,171.0,18.0,13.0,258.0,20.0,13.0,214.17321565663354,25.392841044476352,13.0,37.91848801706455,64.55967256976363,0000,0,0,0,0,Grillmair2009,45,2009
st,True,Cetus-Palca-T21,Cetus-Palca,thomas2021,Thomas2021,-,100.89329468795961,47.26384782829856,-67.10260599326651,34.88801984757313,13.045878737457002,30.36043537806189,26.324286108223834,22.13738428297369,-6.698769250073855,33.39003356824595,290.6630392354304,-12.52105421940279,1110,1,1,1,0,"Yanny2009,Newberg2009,Shipp2018,Thomas2021",15,2009
st,True,NGC2298-I21,NGC2298,ibata2021,Ibata2021,-,11.825909610381363,93.26986865274061,-32.225198720694216,12.436895878050978,105.56670200742595,-38.14448140127574,11.013628633791742,99.76255863610616,-34.59438547456903,12.378773347395894,147.35381269925054,44.349241690284735,1110,1,1,1,0,"Balbinot2011,Sollima2020,Ibata2021",57,2011
st,True,Aquarius-W11,Aquarius,williams2011,Williams2011,-,12.374144579821175,338.7831993505229,-7.5394458022097846,4.835233745338118,351.0692596864032,-9.924148342400171,3.3420254187942886,344.9064233935819,-8.78238980891426,4.088629582066203,47.76297086974064,70.95362916309963,1111,1,1,1,1,Williams2011,8,2011
st,True,Tri-Pis-B12,Tri-Pis,bonaca2012,"Bonaca2012,Martin2013",-,13.454993816828068,20.999989215121158,36.099999621094284,26.000000000000004,23.99999107143423,22.899999939109726,26.000000000000004,22.501857227801256,29.491828940450937,26.000000000000007,118.06461628878886,9.724544399471984,1001,1,0,0,1,"Bonaca2012,Martin2013",89,2012
st,True,Alpheus-G13,Alpheus,grillmair2013,Grillmair2013,-,24.216057808776945,21.580100101512052,-68.99998008374233,1.6000089280546421,27.674771373811943,-44.999987215901506,2.000008297201286,24.955477078148505,-56.98449195475558,1.8002637451402947,301.5714070423533,4.280718544819538,1100,1,1,0,0,Grillmair2013,7,2013
st,True,Hermus-G14,Hermus,grillmair2014,Grillmair2014,-,47.62104859892938,245.41607028968522,4.999980848603831,18.947016470080285,253.19114211446208,50.00007259218513,14.854761837437948,241.5105382198181,27.916601234888645,19.64820256880342,150.9206579399833,1.1190029339960776,1100,1,1,0,0,Grillmair2014,35,2014
st,True,Ophiuchus-C20,Ophiuchus,caldwell2020,Caldwell2020,-,6.775363363257195,240.96264313743183,-7.1545372209132045,8.333333333333332,247.610298324371,-7.293350835305916,8.33333333333331,244.33085091928277,-6.906653405338691,8.333333333333332,292.70843404960755,79.64564662317875,1010,1,0,1,0,Bernard2014,64,2014
st,True,Hyllus-G14,Hyllus,grillmair2014,"Grillmair2014,GrillmairCarlin2016",-,23.51343376509255,249.05813711432248,11.000736150918565,22.99959921763178,246.89344480076693,34.00081979156673,18.499303166882306,245.95855698707402,22.338512895924467,20.78144193305141,157.9612154981206,-4.852359098191699,1100,1,1,0,0,Grillmair2014,37,2014
st,True,AAU-ATLAS-L21,AAU-ATLAS,li2021,Li2021,-,23.56167982091416,8.92851050947555,-20.20628727538875,18.9951053549968,30.745903363570157,-33.545163644306776,25.55778432516029,19.837356019412663,-26.863125366918055,21.47824377525476,74.25906756607202,47.93312422784139,1111,1,1,1,1,Koposov2014,4,2014
st,True,TucanaIII-S19,TucanaIII,shipp2019,"Shipp2019,Shipp2018,Li2018",-,4.263185946311188,354.5845653065028,-59.757859008709865,23.37356005234441,2.9968894050877366,-59.49725291915099,26.91423486405955,359.15479674757336,-59.59783105085612,25.296731920307263,354.2299906308372,30.289987100993308,1010,1,0,1,0,Drlicawagner2015,90,2015
po,True,PS1-A-B16,PS1-A,bernard2016,Bernard2016,-,4.900000000000031,28.38512389565404,-6.497929446580401,7.900000000000095,30.130044497006214,-1.9171780841607728,7.899999999999896,29.260151536777855,-4.208039860413631,7.899999999999995,300.85600000000005,20.732000000000323,0000,0,0,0,0,Bernard2016,76,2016
po,True,PS1-E-B16,PS1-E,bernard2016,Bernard2016,-,24.90000000000007,160.12229900840111,46.15320632803633,12.59999999999996,192.98532176432204,62.91292655806815,12.599999999999989,173.0642657138048,55.604630298737426,12.6,42.526000000000266,23.986999999999867,0000,0,0,0,0,Bernard2016,80,2016
po,True,PS1-D-B16,PS1-D,bernard2016,Bernard2016,-,44.899999999999785,138.66263797642594,-21.599120509970472,22.89999999999928,140.70097966798454,23.256988829580227,22.900000000000624,139.6757218623855,0.829065295194073,22.89999999999998,49.64000000000001,2.4669999999994063,0000,0,0,0,0,Bernard2016,79,2016
st,True,Phoenix-S19,Phoenix,shipp2019,"Shipp2019,Balbinot2016",-,11.768596631872791,19.795598821839846,-55.13802616821203,17.50000000000177,27.024591869685434,-44.33738808377541,17.50000000000023,24.685939448425646,-49.10912951097704,17.5000000000014,311.1767397503063,14.000097287946748,1010,1,0,1,0,Balbinot2016,75,2016
po,True,PS1-B-B16,PS1-B,bernard2016,Bernard2016,-,9.89999999999994,145.5602071278418,-15.270859082680607,14.500000000000176,151.10673951473854,-6.997316380691523,14.499999999999826,148.37298019764486,-11.146813688759156,14.499999999999995,65.60299999999982,32.5669999999991,0000,0,0,0,0,Bernard2016,77,2016
st,True,Parallel-W18,Parallel,weiss2018,Weiss2018,-,37.66567207270825,192.7993800512803,0.028313991964304994,14.799999999999995,156.19547562183433,8.74709846267374,16.5,174.53893668289112,4.142650941436656,14.27017098486262,112.95078977970982,-81.34001056390065,1100,1,1,0,0,Sohn2016,71,2016
po,True,PS1-C-B16,PS1-C,bernard2016,Bernard2016,-,7.8999999999999675,330.2156364472797,11.71171899023195,17.400000000000592,334.934277917246,18.16551585317425,17.399999999999327,332.5394478436543,14.950721442221896,17.399999999999984,232.22699999999955,33.838000000000946,0000,0,0,0,0,Bernard2016,78,2016
po,True,Scamander-G17,Scamander,grillmair2017,Grillmair2017,-,65.19999999999995,151.62806274964774,-20.455832380737682,21.000000000000128,143.56740157551886,44.325488608557464,20.999999999999623,148.13903573622193,11.96304625416393,20.999999999999993,59.402837641641426,-5.942747868605655,0000,0,0,0,0,Grillmair2017,84,2017
po,True,Sangarius-G17,Sangarius,grillmair2017,Grillmair2017,-,50.10000000000012,134.03764086475874,-17.6010676566256,21.000000000000444,131.54665273434028,32.44213879614139,20.999999999999634,132.8678754375138,7.422263201589046,20.99999999999999,43.208391904836,-2.612052588507609,0000,0,0,0,0,Grillmair2017,83,2017
st,True,Orinoco-G17,Orinoco,grillmair2017,Grillmair2017_south,-,21.404231257996667,0.0044166760682117,-25.489617333023613,20.59999999999996,22.702443827354323,-28.38148205346961,20.59999999999995,11.453775262983232,-24.605848509490546,20.59999999999999,21.911005499232587,65.01896536693793,1000,1,0,0,0,Grillmair2017_south,65,2017
st,True,Molonglo-G17,Molonglo,grillmair2017b,Grillmair2017_south,-,19.35929124920847,10.256167889668388,-24.500882587651777,20.0000000000001,354.64858434466873,-12.000885101222607,19.999999999999957,2.0749203000592997,-18.51605822172253,19.999999999999996,251.3235283310509,-46.613679172799856,1000,1,0,0,0,Grillmair2017_south,52,2017
st,True,Eridanus-M17,Eridanus,myeong2017,"Myeong2017,Harris1996",-,0.5999993937593764,65.97858431221822,-21.41671333293569,94.99999999999996,66.3922156877818,-20.95708666706431,95.0,66.18546642577651,-21.186826187167455,95.00000000000001,353.0567157868176,36.822036767310614,1000,1,0,0,0,Myeong2017,20,2017
st,True,Pal15-M17,Pal15,myeong2017,"Myeong2017,Harris1996",-,1.469165685324002,255.34633485050725,-1.4659310771061438,38.399999999999984,254.7683225240729,-0.12332105483752051,38.39999999999999,255.11611091092374,-0.7693149571294001,38.4,164.75233224506113,-23.287647382578587,1000,1,0,0,0,Myeong2017,68,2017
st,True,Kwando-I21,Kwando,ibata2021,Ibata2021,-,20.620799948843537,14.859317570138195,-14.035245914264774,8.236840507616972,29.339740711581385,-29.5662822218153,6.989647955659184,22.41395610122535,-21.331287069176113,7.745175614724348,93.18996284425226,40.060959658919344,1110,1,1,1,0,Grillmair2017_south,43,2017
